"Term","Score"
"«асд»",64.1237339365384
"тон",53.8639365066923
"європейськ",48.3248548500075
"виток",46.1690884343077
"гамбашидз",46.1690884343077
"європарламент",38.4742403619231
"шведськ",38.4742403619231
"парт",33.6924391842286
"швеці",33.344341647
"ультраправ",29.3267413758685
"російськ",28.6653433508231
"розслідуван",28.2144429320769
"фейк",28.2144429320769
"прав",28.1594533153386
"мар",25.6494935746154
"равлик",25.6494935746154
"росі",24.9277301694883
"жінок",24.8432975707133
"суспільств",24.7517549231746
"ольг",24.3334282997207
"вибор",23.5730999268329
"політичн",23.5730999268329
"парті",23.4613931006948
"«друг",23.0845442171538
"іванн",23.0845442171538
"лук’ян",23.0845442171538
"мельник",23.0845442171538
"олімпіад",22.4616261228191
"жарт",22.4616261228191
"соцмереж",22.3944449304913
"українськ",20.8768360786131
"документ",20.876126982304
"депутат",20.5898239459175
"журналістськ",20.5898239459175
"париж",20.5898239459175
"поясню",20.5898239459175
"французьк",20.528718963108
"«схеми»",20.5195948596923
"svt",20.5195948596923
"медведчук",20.5195948596923
"політтехнолог",20.5195948596923
"груп",20.3913282628314
"жінк",20.1029370940705
"політик",20.0657403455762
"люд",19.1102289005487
"команд",19.0623818943146
"робот",19.0623818943146
"телебаченн",19.0623818943146
"парламент",18.8584799414663
"військовослужбовц",18.7180217690159
