"Term","Score"
"трамп",159.564632222536
"військов",143.997351030093
"театр",128.430069837651
"насильств",105.860695405441
"облік",105.556212879172
"жінок",98.9332497296454
"україн",85.7828638517798
"разумк",81.7282262603232
"нат",79.8833834986784
"конвенці",75.8904958131572
"музичн",73.9445856641019
"жінк",66.0900829836432
"конвенц",62.26912476977
"сша",61.9801729995467
"туреччин",61.4505762077354
"українськ",60.0378976452946
"обєднанн",58.3773044716594
"ультраправ",58.3773044716594
"прав",56.6184260500983
"оркестр",54.4854841735488
"посад",54.0339969739638
"робот",53.9889546567749
"раді",52.9303477027205
"закон",52.8691934488415
"профес",52.6160446768055
"угорщин",52.4947948705601
"школ",52.287375885929
"діт",51.3632817083101
"лин",50.5936638754381
"служб",48.9342264236314
"стамбульськ",48.3013990642991
"депутат",48.3013990642991
"свобод",47.4926653015017
"фільм",47.4845361605228
"напад",46.7018435773275
"оперн",46.7018435773275
"країн",45.760224180485
"сбу",44.6913281510803
"народу»",44.101277406534
"президент",43.7994935893114
"рішенн",43.4028851162308
"книжк",42.8100232792169
"музик",42.8100232792169
"мфо",42.8100232792169
"судд",42.8100232792169
"домашн",42.5939409288425
"членств",41.8981201416378
"війн",41.6847113979082
"«слуг",41.0828829421775
"понятт",40.8641131301616
