"Term","Score"
"шейнбаум",50.3558007287658
"хеліф",40.1835518936581
"мексик",38.3663243647739
"жінок",34.8028545282154
"посад",33.7813575873868
"ікжц",30.9104245335832
"стату",30.9104245335832
"насильств",29.6320908184843
"канад",28.7747432735804
"оборон",28.6283076075751
"meta",27.8193820802248
"начальник",27.8193820802248
"церкв",27.8193820802248
"служб",27.708354156685
"військов",25.290022791962
"україн",25.2524686030454
"католицьк",24.7283396268665
"морган",24.7283396268665
"реклам",24.7283396268665
"дані",23.9091619762825
"мексиц",23.9091619762825
"проєкт",23.7056726547874
"українськ",22.0878107302144
"жінк",21.830558378598
"google",21.6372971735082
"гітінг",21.6372971735082
"каріньян",21.6372971735082
"олімпійськ",21.6372971735082
"снпк",21.6372971735082
"штаб",21.6372971735082
"уряд",21.2436191452481
"країн",20.7885277460842
"програм",20.7885277460842
"чоловік",20.612381477454
"сексуальн",20.4569771068611
"міністр",19.6639932724861
"сфер",19.4892447619539
"питанн",19.2608590320148
"президентк",19.183162182387
"репродуктивн",19.183162182387
"сил",18.9229766487425
"перш",18.770175396464
"диякон",18.5462547201499
"неньк",18.5462547201499
"путін",18.5462547201499
"університет",18.5462547201499
"зсу",18.1899617778237
"міноборон",17.9318714822119
"гендерн",17.8871652604905
"збройн",16.9825396444198
