"Term","Score"
"герб",149.317014463075
"вибор",112.059119538689
"політичн",99.2689513794355
"дитин",95.4051670157777
"крим",92.7075923048907
"дук",91.8873935157383
"мов",90.3710998768215
"парламент",88.7062596688249
"місцев",87.1947506929015
"білорус",84.658343830087
"чоловік",83.0422019704718
"робот",82.6110816306473
"фронт",81.5228496141579
"єременк",80.401469326271
"жінк",76.5730591684568
"квач",76.5728279297819
"ярмоленк",76.5728279297819
"міськ",75.3092498973513
"повинн",73.4265186499175
"насильств",73.3888006377803
"декрет",73.2704110610761
"ніжельськ",72.7441865332928
"платформ",72.1163669663704
"міст",68.6845356178686
"учасник",68.6758139371548
"російськ",68.5304720817558
"війн",67.1464773537822
"відпустк",66.5761045216498
"марш",66.4695944827518
"політик",64.9087069955086
"сексуальн",64.3835755660826
"конвенц",64.0128624127486
"конвенці",62.1301311653148
"закон",61.8583714774395
"громад",61.5220833187011
"вачил",61.2582623438255
"парті",60.0913371950104
"питанн",59.5930408661911
"бійц",59.5743901026538
"насправд",58.3646686704472
"велик",57.2344479541687
"рад",57.1501509647311
"міністр",57.0995886703506
"депутатк",55.9743953538963
"сил",54.9089685739574
"справ",54.7208670761965
"фільм",54.6005821564197
"запоріжж",54.6005821564197
"сєвєродонецьк",53.6009795508473
"реч",53.0750656391575
