"Term","Score"
"архівн",0
"бібліотечн",0
"закінчил",0
"інформаційн",0
"київськ",0
"кінц",0
"культур",0
"мистецтв",0
"працю",0
"раді",0
"свобод",0
"справ",0
"університет",0
