"Term","Score"
"облік",96.6542263033189
"військов",80.9180160114245
"арестович",80.2244594827959
"мед",56.1571216379571
"медичн",49.2200216914665
"гендерн",40.2139833619401
"груп",38.5676202024122
"військовозобов’язан",36.9150162685998
"фармацевтичн",36.9150162685998
"прац",36.2722088321579
"жовтн",33.9320663268574
"осіб",33.6770249707319
"взятт",33.3993004334951
"місяц",29.8490992995544
"оплат",29.8490992995544
"куп",27.2242024958204
"міноборон",27.0063279376921
"beginning",26.9383666398918
"nasa",26.9383666398918
"страйк",26.9383666398918
"співробітник",26.7414864942653
"жінк",26.5203241563032
"підтримк",26.3678687632856
"дослідженн",25.7530190952656
"спеціальніст",25.7530190952656
"мают",25.5530576878183
"олекс",24.1635565758297
"сексуальн",23.772017626399
"центр",23.772017626399
"забезпеченн",23.6330454113763
"районн",23.5710708099053
"територіальн",23.5710708099053
"освіт",23.4236362138334
"жіноч",22.9421186851603
"радник",22.8521529281809
"спеціальност",22.8521529281809
"рад",22.7421708948986
"відповідн",22.2313538003548
"країн",22.2313538003548
"офіс",22.0575090506179
"орган",21.8935229012128
"необхідн",21.7910161575324
"комплектуванн",21.3931891954122
"лгбт",21.3931891954122
"міськ",21.3931891954122
"соціальн",21.3931891954122
"можливост",21.0942950106285
"президент",20.6056686129062
"оон",20.4819726898594
"працівник",20.4819726898594
