"word","freq"
"архівн",1
"бібліотечн",1
"закінчил",1
"київськ",1
"культур",1
"кінц",1
"мистецтв",1
"працю",1
"раді",1
"свобод",1
"справ",1
"університет",1
"інформаційн",1
