"word","freq"
"раді",2
"свобод",2
"журналістик",1
"київськ",1
"кореспондентк",1
"магістр",1
"народил",1
"національн",1
"полтавщин",1
"редакторк",1
"сайт",1
"співпрацю",1
"тг",1
"університет",1
"шевченк",1
"ім",1
"інститут",1
